Bedrooms,Bathrooms,Size_sqft,Parking_space,Condition,Year,Price_INR
4,3,4034,1,1,2010,28414320
5,1,2553,1,5,1986,10779600
3,4,2961,1,1,1982,17882478
5,4,1905,0,5,2023,16687748
5,4,521,0,4,2001,6764068
2,4,3953,1,3,2009,32551515
3,2,4777,1,3,2015,40391450
3,3,2969,1,1,2004,34445215
3,5,1795,0,3,2019,12611194
5,3,674,0,2,1987,7506768
4,4,4975,0,1,2003,50016292
3,5,4511,0,1,1987,28764408
6,1,810,0,2,1993,3800189
5,1,3673,0,1,1988,22026283
2,5,1331,0,1,1984,8097756
4,3,883,1,4,1993,9558921
6,4,514,1,2,1983,4885641
6,4,1980,1,5,2020,26059534
2,3,4848,1,5,1988,29682376
4,1,1136,0,2,2014,13899812
5,3,1041,1,2,2013,7647361
1,4,925,1,2,1988,8140572
4,2,2605,1,4,2018,24364724
2,1,4808,0,3,2014,46409495
6,4,4376,0,1,2019,64024387
5,5,3455,0,2,2009,37202978
4,5,4351,1,3,1986,30754632
1,2,3329,0,1,2009,37105554
1,1,4058,0,5,2014,16698327
3,1,3457,0,5,2004,37049268
3,5,4317,0,3,2010,48182105
2,4,3840,0,4,2018,32170735
4,5,1809,0,3,2013,19036347
4,4,4959,1,4,1981,29483798
6,4,4716,0,5,2003,22496872
6,2,2346,0,2,2023,18011108
6,1,3462,1,3,1980,19635692
3,5,4285,0,5,2006,31262888
4,2,2100,1,2,2014,19297587
4,2,402,1,2,2008,3895980
1,3,684,1,1,1991,3108311
3,4,2371,1,3,2009,11192151
5,2,1479,1,4,1986,13180102
3,1,1890,0,4,1988,13814121
5,1,2034,0,1,2010,24119178
1,2,2701,0,3,2000,13617661
2,1,748,1,2,2007,3082162
4,3,4853,0,5,2013,24058117
1,1,511,0,5,1987,4400721
4,3,1499,0,2,1981,12907694
6,3,519,0,1,2011,3554578
2,4,3006,1,5,1996,11614381
2,5,4238,0,2,2006,45154635
1,1,2218,1,4,2005,10094858
2,2,819,1,4,2018,7019687
5,1,2026,1,1,2008,13533051
2,4,1294,1,2,2024,10322653
4,4,4583,1,2,2010,36540826
4,2,3360,0,2,1987,14241487
4,1,3054,0,3,2014,15653568
4,2,725,1,4,1996,5376684
5,2,1580,0,4,2015,10289815
3,2,2882,0,2,2014,35570044
6,5,695,1,3,1993,5575303
1,5,4813,1,2,1990,37464650
4,4,1211,0,5,1999,10401595
2,2,4967,1,2,2008,40358189
4,1,1029,1,5,2023,9004798
2,1,3996,1,5,1995,22909649
6,1,554,1,2,2017,3787574
6,2,1539,0,1,2003,7707825
6,1,1243,0,2,2001,7222269
2,4,3518,1,5,1998,18991008
4,5,4188,1,3,1984,20517184
